Crop_Type,Temperature,Humidity,Soil_pH,Crop_Yield
Rice,14.405,80,8,0
Potato,19.944,80,6.25,68.256
Wheat,15.298,80,6.75,32.847
Corn,16.967,80,6.25,58.361
Rice,25.579,74.421,6.5,123.867
Potato,13.317,80,6.75,19.045
Wheat,30.524,69.476,5.5,0
Corn,17.061,80,6.25,65.987
Rice,21.585,78.415,6.25,51.869
Potato,23.584,76.416,6.25,39.81
Wheat,24.755,75.245,6.25,37.249
Corn,9.274,80,6.5,0
Rice,19.235,80,6.5,51.773
Potato,25.442,74.558,6.5,45.804
Wheat,16.383,80,8,41.311
Corn,14.18,80,6.25,33.071
Rice,19.815,80,6.25,39.756
Potato,7.655,80,6.5,0
Wheat,19.374,80,8,60.62
Corn,26.231,73.769,6.5,40.819
Rice,15.014,80,6.25,0.128
Potato,16.952,80,6.25,60.479
Wheat,22.573,77.427,6.25,50.391
Corn,7.066,80,6.75,0
Rice,15.527,80,5.5,3.248
Potato,18.463,80,6.25,67.393
Wheat,12.764,80,6.25,19.798
Corn,20.466,79.534,8,71.17
Rice,12.213,80,6.5,0
Potato,20.81,79.19,6.5,93.991
Wheat,18.156,80,8,42.453
Corn,18.665,80,6.25,60.42
Rice,18.475,80,5.5,22.202
Potato,17.519,80,8,39.242
Wheat,5.819,80,6.75,0
Corn,4.236,80,5.5,0
Rice,13.076,80,5.5,0
Potato,15.322,80,5.5,26.427
Wheat,20.72,79.28,6.5,79.697
Corn,11.992,80,6.5,22.659
Rice,8.846,80,6.75,0
Potato,12.269,80,8,11.3
Wheat,10.029,80,8,0.138
Corn,25.303,74.697,5.5,26.873
Rice,13.052,80,5.5,0
Potato,11.978,80,6.75,12.717
Wheat,21.002,78.998,5.5,44.146
Corn,17.683,80,6.5,59.905
Rice,18.036,80,6.25,22.956
Potato,12.581,80,5.5,14.441
Wheat,16.512,80,6.75,33.051
Corn,18.028,80,5.5,46.565
Rice,16.473,80,6.5,15.185
Potato,8.532,80,6.25,0
Wheat,23.195,76.805,8,40.696
Corn,16.182,80,5.5,39.629
Rice,18.869,80,6.25,35.57
Potato,14.965,80,5.5,30.243
Wheat,12.841,80,8,15.205
Corn,14.324,80,5.5,28.326
Rice,17.278,80,8,13.832
Potato,15.5,80,6.25,37.863
Wheat,10.23,80,5.5,1.124
Corn,5.317,80,6.75,0
Rice,20.265,79.735,5.5,30.003
Potato,16.003,80,6.75,31.253
Wheat,10.862,80,6.75,4.46
Corn,0.393,80,8,0
Rice,12.758,80,6.75,0
Potato,19.416,80,6.75,53.578
Wheat,15.566,80,6.5,55.31
Corn,11.659,80,5.5,8.866
Rice,18.827,80,6.75,23.304
Potato,16.325,80,6.75,40.866
Wheat,20.937,79.063,8,56.044
Corn,16.629,80,8,41.572
Rice,16.384,80,6.5,13.407
Potato,12.677,80,6.5,25.05
Wheat,5.319,80,6.25,0
Corn,8.416,80,5.5,0
Rice,19.296,80,6.5,39.52
Potato,11.118,80,5.5,5.891
Wheat,5.574,80,6.75,0
Corn,18.896,80,6.5,102.553
Rice,19.752,80,6.5,51.251
Potato,9.398,80,5.5,0
Wheat,22.008,77.992,8,45.02
Corn,12.487,80,5.5,14.708
Rice,13.962,80,6.25,0
Potato,12.538,80,6.75,13.855
Wheat,14.68,80,6.75,31.134
Corn,11.453,80,8,10.763
Rice,12.585,80,6.75,0
Potato,16.034,80,6.5,57.001
Wheat,9.281,80,6.5,0
Corn,13.959,80,6.5,39.187
Rice,14.127,80,6.25,0
Potato,14.228,80,5.5,17.724
Wheat,20.552,79.448,6.5,71.976
Corn,21.362,78.638,5.5,62.583
Rice,9.426,80,5.5,0
Potato,18.19,80,8,39.25
Wheat,15.854,80,5.5,33.022
Corn,9.085,80,8,0
Rice,18.155,80,6.5,31.29
Potato,16.886,80,6.25,55.311
Wheat,4.322,80,6.5,0
Corn,16.116,80,6.5,59.101
Rice,14.467,80,5.5,0
Potato,15.903,80,6.75,32.089
Wheat,11.624,80,5.5,8.195
Corn,13.46,80,5.5,22.23
Rice,15.151,80,8,1.008
Potato,18.39,80,6.75,54.942
Wheat,19.217,80,6.25,68.12
Corn,21.849,78.151,5.5,46.574
Rice,9.385,80,6.25,0
Potato,18.69,80,6.25,65.64
Wheat,11.709,80,6.75,10.295
Corn,15.789,80,6.75,35.796
Rice,2.874,80,5.5,0
Potato,15.691,80,5.5,38.884
Wheat,17.572,80,6.75,39.817
Corn,15.507,80,6.25,39.339
Rice,10.705,80,6.75,0
Potato,18.144,80,6.25,69.21
Wheat,28.351,71.649,6.5,11.076
Corn,20.319,79.681,5.5,61.583
Rice,24.484,75.516,8,65.219
Potato,31.216,68.784,6.5,0
Wheat,20.824,79.176,5.5,42.199
Corn,25.924,74.076,8,26.335
Rice,18.462,80,6.25,36.781
Potato,26.161,73.839,6.75,21.89
Wheat,18.748,80,5.5,52.169
Corn,22.74,77.26,6.5,66.665
Rice,35.499,64.501,8,0
Potato,25.071,74.929,6.75,27.373
Wheat,15.878,80,6.5,52.516
Corn,25.867,74.133,6.25,35.395
Rice,17.906,80,5.5,17.427
Potato,28.451,71.549,8,8.005
Wheat,31.087,68.913,5.5,0
Corn,30.668,69.332,6.25,0
Rice,28.917,71.083,6.75,37.594
Potato,24.757,75.243,5.5,27.712
Wheat,28.33,71.67,6.25,12.492
Corn,21.914,78.086,8,49.546
Rice,30.291,69.709,5.5,30.531
Potato,16.108,80,6.5,49.821
Wheat,17.554,80,5.5,41.424
Corn,31.764,68.236,6.5,0
Rice,18.866,80,5.5,27.074
Potato,24.864,75.136,6.25,38.525
Wheat,25.481,74.519,6.75,26.47
Corn,21.493,78.507,6.25,66.615
Rice,34.359,65.641,5.5,3.787
Potato,23.925,76.075,8,41.415
Wheat,17.344,80,8,45.384
Corn,24.689,75.311,5.5,36.637
Rice,33.498,66.502,6.75,9.907
Potato,24.664,75.336,6.25,41.153
Wheat,23.647,76.353,6.25,37.487
Corn,24.726,75.274,6.5,56.334
Rice,21.184,78.816,6.5,72.007
Potato,22.634,77.366,8,40.122
Wheat,32.439,67.561,6.75,0
Corn,27.732,72.268,6.5,20.513
Rice,24.479,75.521,5.5,52.093
Potato,23.936,76.064,6.5,53.156
Wheat,29.879,70.121,8,0.578
Corn,25.275,74.725,6.75,24.624
Rice,30.594,69.406,6.25,34.347
Potato,20.523,79.477,8,49.876
Wheat,11.576,80,6.25,11.327
Corn,21.175,78.825,8,62.328
Rice,26.749,73.251,5.5,58.42
Potato,31,69,6.25,0
Wheat,20.575,79.425,6.5,81.89
Corn,24.35,75.65,6.5,60.174
Rice,23.955,76.045,6.25,79.497
Potato,34.323,65.677,6.25,0
Wheat,26.948,73.052,6.5,29.602
Corn,29.302,70.698,6.75,4.287
Rice,27.554,72.446,6.5,73.241
Potato,22.7,77.3,6.75,40.898
Wheat,28.354,71.646,6.75,8.686
Corn,28.223,71.777,8,11.59
Rice,24.934,75.066,6.25,70.781
Potato,33.258,66.742,6.5,0
Wheat,12.414,80,6.5,24.476
Corn,24.908,75.092,6.25,46.849
Rice,29.691,70.309,6.5,51.43
Potato,27.193,72.807,6.5,25.326
Wheat,22.903,77.097,6.25,59.579
Corn,28.78,71.22,8,7.332
Rice,19.347,80,5.5,30.311
Potato,24.691,75.309,5.5,31.637
Wheat,31.846,68.154,5.5,0
Corn,26.66,73.34,6.25,28.107
Rice,32.56,67.44,8,13.699
Potato,8.376,80,6.75,0
Wheat,27.169,72.831,5.5,15.128
Corn,31.723,68.277,8,0
Rice,20.609,79.391,5.5,37.649
Potato,27.674,72.326,5.5,11.508
Wheat,25.71,74.29,6.25,32.954
Corn,29.994,70.006,6.25,0.051
Rice,22.369,77.631,8,49.595
Potato,22.323,77.677,6.5,64.751
Wheat,30.61,69.39,6.25,0
Corn,24.304,75.696,6.75,31.89
Rice,18.835,80,6.75,26.917
Potato,22.658,77.342,5.5,35.828
Wheat,26.321,73.679,6.25,24.014
Corn,22.202,77.798,8,57.491
Rice,20.255,79.745,6.75,39.844
Potato,25.215,74.785,6.75,32.89
Wheat,24.386,75.614,6.5,45.31
Corn,37.058,62.942,6.5,0
Rice,29.435,70.565,6.75,34.989
Potato,18.564,80,6.5,73.386
Wheat,22.744,77.256,8,47.5
Corn,22.684,77.316,8,36.478
Rice,22.333,77.667,8,60.763
Potato,29.562,70.438,8,2.387
Wheat,24.172,75.828,8,32.778
Corn,23.252,76.748,5.5,34.46
Rice,17.428,80,6.25,24.67
Potato,24.071,75.929,8,34.46
Wheat,31.255,68.745,6.5,0
Corn,30.424,69.576,5.5,0
Rice,24.352,75.648,6.5,94.735
Potato,27.456,72.544,6.5,22.08
Wheat,27.169,72.831,6.25,17.664
Corn,20.94,79.06,6.25,82.616
Rice,25.289,74.711,6.25,96.711
Potato,19.807,80,8,50.23
Wheat,33.428,66.572,5.5,0
Corn,16.316,80,6.25,45.795
Rice,18.531,80,8,22.895
Potato,15.82,80,6.25,46.827
Wheat,32.348,67.652,6.5,0
Corn,21.379,78.621,6.25,85.463
Rice,29.502,70.498,6.5,62.998
Potato,19.646,80,6.25,60.725
Wheat,33.111,66.889,6.25,0
Corn,25.003,74.997,8,35.493
Rice,19.662,80,6.25,36.281
Potato,20.608,79.392,8,56.164
Wheat,28.182,71.818,6.5,14.018
Corn,25.89,74.11,8,27.527
Rice,31.661,68.339,6.75,24.389
Potato,26.083,73.917,5.5,23.483
Wheat,28.725,71.275,6.5,10.518
Corn,16.309,80,8,43.376
Rice,31.195,68.805,5.5,20.651
Potato,28.53,71.47,5.5,6.887
Wheat,28.395,71.605,6.25,10.491
Corn,23.295,76.705,5.5,44.17
Rice,24.093,75.907,6.75,55.174
Potato,27.53,72.47,5.5,15.912
Wheat,25.62,74.38,5.5,23.32
Corn,29.02,70.98,5.5,6.155
Rice,34.863,65.137,6.5,1.365
Potato,18.677,80,6.25,63.47
Wheat,21.963,78.037,6.25,60.496
Corn,27.091,72.909,6.25,18.54
Rice,27.221,72.779,6.25,68.303
Potato,24.362,75.638,6.5,36.278
Wheat,25.241,74.759,8,28.28
Corn,25.041,74.959,6.75,31.761
Rice,11.755,80,6.75,0
Potato,23.365,76.635,8,40.706
Wheat,24.084,75.916,5.5,36.246
Corn,21.863,78.137,6.5,72.284
Rice,22.491,77.509,8,54.131
Potato,27.543,72.457,5.5,11.655
Wheat,28.678,71.322,6.5,11.24
Corn,27.599,72.401,6.75,15.596
Rice,18.015,80,6.5,36.827
Potato,21.606,78.394,8,50.074
Wheat,20.553,79.447,6.75,58.855
Corn,18.493,80,6.75,55.059
Rice,30.884,69.116,6.25,27.757
Potato,31.685,68.315,5.5,0
Wheat,20.133,79.867,8,59.611
Corn,23.863,76.137,8,35.245
Rice,28.959,71.041,5.5,34.509
Potato,31.707,68.293,6.75,0
Wheat,20.945,79.055,6.5,84.532
Corn,26.064,73.936,8,25.977
Rice,25.747,74.253,6.25,79.254
Potato,27.696,72.304,6.5,17.743
Wheat,21.174,78.826,6.5,83.937
Corn,26.097,73.903,6.75,23.445
Rice,29.666,70.334,6.25,47.853
Potato,17.233,80,6.75,47.779
Wheat,31.099,68.901,6.25,0
Corn,22.66,77.34,8,50.065
Rice,21.015,78.985,6.75,44.618
Potato,29.35,70.65,8,3.652
Wheat,22.074,77.926,6.5,59.87
Corn,27.405,72.595,6.25,19.958
Rice,22.922,77.078,5.5,57.89
Potato,27.425,72.575,6.75,13.278
Wheat,21.03,78.97,5.5,47.571
Corn,23.795,76.205,5.5,34.026
Rice,18.057,80,6.25,23.213
Potato,30.986,69.014,8,0
Wheat,30.909,69.091,6.25,0
Corn,22.359,77.641,5.5,52.075
Rice,31.188,68.812,6.25,27.307
Potato,21.491,78.509,8,50.805
Wheat,21.105,78.895,6.75,61.212
Corn,33.095,66.905,6.25,0
Rice,32.726,67.274,8,13.605
Potato,22.294,77.706,5.5,47.088
Wheat,27.147,72.853,5.5,14.344
Corn,24.35,75.65,6.25,42.055
Rice,36.294,63.706,8,0
Potato,28.252,71.748,5.5,9.151
Wheat,31.248,68.752,6.5,0
Corn,21.137,78.863,6.5,97.721
Rice,29.267,70.733,6.5,59.505
Potato,23.165,76.835,6.25,61.615
Wheat,26.738,73.262,8,19.288
Corn,25.958,74.042,6.75,26.881
Rice,30.581,69.419,8,27.916
Potato,25.691,74.309,6.25,30.257
Wheat,21.198,78.802,6.75,47.361
Corn,21.95,78.05,6.75,52.253
Rice,17.79,80,6.25,27.675
Potato,27.288,72.712,5.5,13.088
Wheat,24.888,75.112,6.25,37.661
Corn,28.829,71.171,8,6.639
Rice,26.316,73.684,6.5,95.222
Potato,24.184,75.816,5.5,33.667
Wheat,23.058,76.942,8,43.145
Corn,21.509,78.491,5.5,53.351
Rice,24.706,75.294,6.25,84.577
Potato,19.971,80,5.5,58.199
Wheat,35.304,64.696,6.5,0
Corn,17.177,80,8,55.852
Rice,23.787,76.213,5.5,55.018
Potato,24.247,75.753,5.5,36.632
Wheat,29.951,70.049,8,0.283
Corn,22.613,77.387,8,39.664
Rice,30.731,69.269,6.75,24.743
Potato,24.2,75.8,6.5,43.761
Wheat,28.394,71.606,6.25,11.143
Corn,21.84,78.16,6.75,55.081
Rice,27.77,72.23,8,54.752
Potato,27.237,72.763,6.5,23.128
Wheat,25.887,74.113,5.5,20.937
Corn,30.492,69.508,5.5,0
Rice,22.219,77.781,6.75,47.689
Potato,26.454,73.546,5.5,16.916
Wheat,18.207,80,6.75,37.945
Corn,24.494,75.506,6.25,44.015
Rice,30.797,69.203,5.5,23.459
Potato,33.249,66.751,6.5,0
Wheat,19.314,80,5.5,58.866
Corn,25.164,74.836,5.5,30.499
Rice,25.772,74.228,6.75,63.208
Potato,34.742,65.258,8,0
Wheat,26.726,73.274,6.75,18.395
Corn,21.795,78.205,5.5,52.933
Rice,17.528,80,6.5,28.263
Potato,27.085,72.915,6.75,14.699
Wheat,18.558,80,6.25,67.465
Corn,24.365,75.635,6.5,55.504
Rice,24.764,75.236,6.25,107.764
Potato,24.178,75.822,6.5,53.729
Wheat,21.528,78.472,5.5,45.493
Corn,27.675,72.325,6.75,15.309
Rice,20.044,79.956,6.25,40.282
Potato,23.937,76.063,8,37.55
Wheat,22.541,77.459,5.5,41.381
Corn,21.871,78.129,8,53.719
Rice,16.098,80,6.75,6.371
Potato,29.229,70.771,6.25,5.01
Wheat,25.395,74.605,8,28.171
Corn,20.91,79.09,6.5,79.238
Rice,27.103,72.897,8,58.459
Potato,25.464,74.536,5.5,22.789
Wheat,26.742,73.258,6.5,27.549
Corn,30.372,69.628,6.75,0
Rice,30.169,69.831,5.5,32.374
Potato,22.605,77.395,6.75,41.257
Wheat,24.603,75.397,6.25,35.048
Corn,26.801,73.199,5.5,19.094
Rice,21.568,78.432,5.5,44.046
Potato,20.988,79.012,6.25,60.301
Wheat,25.001,74.999,6.75,29.619
Corn,19.913,80,6.5,100.7
Rice,19.324,80,8,27.311
Potato,19.225,80,6.5,77.237
Wheat,25.207,74.793,8,28.259
Corn,23.721,76.279,8,45.632
Rice,14.913,80,6.75,0
Potato,23.383,76.617,6.75,39.106
Wheat,28.262,71.738,6.25,12.583
Corn,19.724,80,6.5,79.291
Rice,30.163,69.837,6.75,27.569
Potato,31.427,68.573,6.25,0
Wheat,29.776,70.224,5.5,1.078
Corn,27.963,72.037,8,12.52
Rice,15.115,80,6.5,1.278
Potato,26.455,73.545,8,18.713
Wheat,33.022,66.978,8,0
Corn,19.569,80,5.5,62.047
Rice,27.923,72.077,8,49.47
Potato,24.43,75.57,6.75,27.84
Wheat,22.16,77.84,8,46.194
Corn,21.706,78.294,6.75,41.746
Rice,28.175,71.825,6.75,47.066
Potato,28.311,71.689,6.75,9.301
Wheat,23.224,76.776,8,38.251
Corn,29.336,70.664,6.25,4.815
Rice,24.208,75.792,8,59.008
Potato,22.121,77.879,5.5,50.715
Wheat,29.89,70.11,6.25,0.846
Corn,29.847,70.153,6.5,1.633
Rice,22.191,77.809,6.25,45.847
Potato,25.223,74.777,6.75,34.761
Wheat,23.424,76.576,8,40.682
Corn,28.069,71.931,6.5,17.823
Rice,24.893,75.107,8,62.633
Potato,25.758,74.242,6.75,23.621
Wheat,22.675,77.325,5.5,40.339
Corn,13.88,80,5.5,22.941
Rice,19.933,80,6.25,49.49
Potato,24.163,75.837,6.5,51.069
Wheat,22.14,77.86,6.75,48.18
Corn,31.515,68.485,6.75,0
Rice,32.645,67.355,8,13.449
Potato,17.64,80,8,50.81
Wheat,26.434,73.566,8,21.6
Corn,33.179,66.821,8,0
Rice,40.074,59.926,6.5,0
Potato,25.286,74.714,8,25.926
Wheat,28.334,71.666,6.75,8.79
Corn,25.946,74.054,5.5,20.243
Rice,28.942,71.058,8,40.426
Potato,23.673,76.327,6.5,65.102
Wheat,27.146,72.854,5.5,14.856
Corn,26.429,73.571,5.5,21.723
Rice,30.209,69.791,8,29.291
Potato,26.672,73.328,8,17.128
Wheat,19.492,80,6.5,76.812
Corn,34.814,65.186,6.5,0
Rice,15.896,80,6.25,6.669
Potato,19.191,80,6.25,65.977
Wheat,25.853,74.147,5.5,21.147
Corn,18.089,80,8,47.084
Rice,25.399,74.601,6.75,66.903
Potato,26.262,73.738,8,20.754
Wheat,24.379,75.621,6.5,54.974
Corn,26.628,73.372,6.25,27.267
Rice,15.332,80,6.75,2.395
Potato,24.582,75.418,5.5,25.88
Wheat,26.048,73.952,5.5,22.78
Corn,24.03,75.97,6.5,60.972
Rice,15.373,80,6.25,2.907
Potato,28.8,71.2,5.5,5.759
Wheat,25.154,74.846,6.75,26.417
Corn,26.674,73.326,8,22.224
Rice,22.856,77.144,6.75,57.75
Potato,29.097,70.903,8,4.508
Wheat,27.176,72.824,6.25,22.04
Corn,22.408,77.592,8,50.166
Rice,30.955,69.045,5.5,27.093
Potato,21.974,78.026,8,54.293
Wheat,21.756,78.244,6.75,44.013
Corn,21.31,78.69,8,54.066
Rice,26.42,73.58,6.25,66.789
Potato,27.76,72.24,8,14.605
Wheat,18.94,80,6.75,48.055
Corn,24.712,75.288,6.75,32.648
Rice,23.264,76.736,6.25,63.914
Potato,19.472,80,6.75,52.861
Wheat,27.891,72.109,6.5,16.094
Corn,26.294,73.706,6.75,24.505
Rice,23.192,76.808,6.25,69.709
Potato,30.321,69.679,8,0
Wheat,26.198,73.802,6.75,17.576
Corn,26.557,73.443,8,19.287
Rice,25.02,74.98,6.75,70.633
Potato,25.687,74.313,6.25,37.038
Wheat,27.093,72.907,5.5,11.453
Corn,22.373,77.627,8,56.448
Rice,28.778,71.222,5.5,33.527
Potato,24.939,75.061,5.5,30.39
Wheat,32.339,67.661,6.75,0
Corn,33.535,66.465,6.25,0
Rice,38.098,61.902,5.5,0
Potato,32.582,67.418,6.75,0
Wheat,43.996,56.004,5.5,0
Corn,38.36,61.64,6.75,0
Rice,27.084,72.916,6.75,47.256
Potato,32.926,67.074,6.25,0
Wheat,33.038,66.962,6.75,0
Corn,34,66,6.75,0
Rice,34.428,65.572,6.25,3.405
Potato,40.931,59.069,8,0
Wheat,33.301,66.699,6.75,0
Corn,36.599,63.401,6.25,0
Rice,27.782,72.218,5.5,47.809
Potato,33.398,66.602,6.25,0
Wheat,31.298,68.702,8,0
Corn,36.492,63.508,8,0
Rice,33.403,66.597,6.5,15.577
Potato,35.52,64.48,6.25,0
Wheat,34.223,65.777,8,0
Corn,25.123,74.877,6.25,29.399
Rice,38.983,61.017,6.25,0
Potato,37.212,62.788,6.75,0
Wheat,32.046,67.954,6.75,0
Corn,37.744,62.256,5.5,0
Rice,43.08,56.92,6.25,0
Potato,32.947,67.053,5.5,0
Wheat,36.445,63.555,6.75,0
Corn,35.392,64.608,6.75,0
Rice,27.848,72.152,8,55.328
Potato,39.067,60.933,6.5,0
Wheat,26.264,73.736,6.75,17.826
Corn,22.467,77.533,6.5,86.462
Rice,30.196,69.804,6.75,34.075
Potato,28.751,71.249,6.5,10.835
Wheat,32.016,67.984,6.5,0
Corn,35.172,64.828,5.5,0
Rice,36.568,63.432,6.75,0
Potato,23.882,76.118,5.5,32.517
Wheat,33.61,66.39,6.5,0
Corn,36.764,63.236,6.5,0
Rice,33.657,66.343,6.75,8.712
Potato,30.082,69.918,6.75,0
Wheat,35.133,64.867,6.25,0
Corn,32.85,67.15,8,0
Rice,30.53,69.47,8,26.457
Potato,43.091,56.909,5.5,0
Wheat,41.135,58.865,6.25,0
Corn,46.157,53.843,8,0
Rice,33.54,66.46,8,10.182
Potato,27.256,72.744,6.75,17.363
Wheat,34.457,65.543,8,0
Corn,35.7,64.3,6.25,0
Rice,43.267,56.733,5.5,0
Potato,31.631,68.369,6.25,0
Wheat,34.51,65.49,6.75,0
Corn,33.13,66.87,5.5,0
Rice,36.264,63.736,8,0
Potato,44.901,55.099,5.5,0
Wheat,33.606,66.394,8,0
Corn,35.547,64.453,8,0
Rice,33.516,66.484,6.75,8.533
Potato,43.537,56.463,6.5,0
Wheat,33.232,66.768,5.5,0
Corn,31.807,68.193,5.5,0
Rice,37.203,62.797,8,0
Potato,46.689,53.311,6.5,0
Wheat,48.542,51.458,5.5,0
Corn,35.449,64.551,6.25,0
Rice,42.652,57.348,8,0
Potato,33.185,66.815,8,0
Wheat,38.623,61.377,6.75,0
Corn,30.41,69.59,8,0
Rice,35.955,64.045,8,0
Potato,31.365,68.635,6.5,0
Wheat,34.799,65.201,5.5,0
Corn,27.083,72.917,8,18.825
Rice,25.6,74.4,6.25,71.332
Potato,42.108,57.892,6.75,0
Wheat,27.87,72.13,6.5,20.188
Corn,31.842,68.158,5.5,0
Rice,37.899,62.101,6.75,0
Potato,25.983,74.017,8,18.007
Wheat,29.983,70.017,6.75,0.106
Corn,38.866,61.134,6.5,0
Rice,38.984,61.016,6.5,0
Potato,37.528,62.472,8,0
Wheat,30.647,69.353,6.25,0
Corn,34.518,65.482,5.5,0
Rice,25.263,74.737,6.5,97.186
Potato,32.416,67.584,6.25,0
Wheat,31.344,68.656,8,0
Corn,41.789,58.211,6.75,0
Rice,32.84,67.16,6.25,17.224
Potato,31.673,68.327,6.75,0
Wheat,41.951,58.049,6.25,0
Corn,23.493,76.507,6.5,62.079
Rice,34.367,65.633,5.5,2.737
Potato,34.989,65.011,6.25,0
Wheat,35.584,64.416,6.5,0
Corn,27.831,72.169,6.5,20.226
Rice,38.688,61.312,6.5,0
Potato,32.247,67.753,5.5,0
Wheat,33.919,66.081,6.5,0
Corn,33.208,66.792,6.5,0
Rice,25.502,74.498,6.25,70.281
Potato,30.751,69.249,6.75,0
Wheat,36.589,63.411,5.5,0
Corn,31.65,68.35,6.75,0
Rice,36.189,63.811,6.5,0
Potato,38.155,61.845,5.5,0
Wheat,28.884,71.116,8,7.145
Corn,39.411,60.589,6.25,0
Rice,21.483,78.517,6.25,54.096
Potato,32.417,67.583,8,0
Wheat,38.082,61.918,6.75,0
Corn,34.925,65.075,6.75,0
Rice,41.044,58.956,6.5,0
Potato,34.632,65.368,6.5,0
Wheat,37.586,62.414,6.75,0
Corn,28.789,71.211,6.25,10.334
Rice,35.009,64.991,6.25,0
Potato,38.837,61.163,8,0
Wheat,36.827,63.173,6.5,0
Corn,24.752,75.248,5.5,30.01
Rice,36.164,63.836,6.75,0
Potato,38.295,61.705,6.75,0
Wheat,38.273,61.727,6.75,0
Corn,38.912,61.088,6.5,0
Rice,32.764,67.236,6.5,22.083
Potato,41.253,58.747,6.25,0
Wheat,34.374,65.626,8,0
Corn,29.477,70.523,8,3.413
Rice,34.798,65.202,8,1.304
Potato,26.476,73.524,6.5,33.023
Wheat,26.414,73.586,6.75,19.431
Corn,35.975,64.025,5.5,0
Rice,37.351,62.649,8,0
Potato,33.677,66.323,6.5,0
Wheat,39.099,60.901,6.5,0
Corn,43.336,56.664,8,0
Rice,30.241,69.759,6.75,32.901
Potato,27.023,72.977,6.5,26.628
